"REF_DATE","VALUE","IR_lag1","IR_lag2"
"2001-08-01",61.2,4.5,4.75
"2001-09-01",61.4,4.25,4.5
"2001-10-01",61.6,3.75,4.25
"2001-11-01",61.7,3,3.75
"2001-12-01",61.7,2.5,3
"2002-01-01",61.9,2.5,2.5
"2002-02-01",62.2,2.25,2.5
"2002-03-01",62.8,2.25,2.25
"2002-04-01",63.8,2.25,2.25
"2002-05-01",64.1,2.5,2.25
"2002-06-01",64.3,2.5,2.5
"2002-07-01",64.3,2.75,2.5
"2002-08-01",64.8,3,2.75
"2002-09-01",65.2,3,3
"2002-10-01",65.4,3,3
"2002-11-01",66.9,3,3
"2002-12-01",66.9,3,3
"2003-01-01",67.7,3,3
"2003-02-01",68.5,3,3
"2003-03-01",67.9,3,3
"2003-04-01",68.1,3.25,3
"2003-05-01",68.3,3.5,3.25
"2003-06-01",68.5,3.5,3.5
"2003-07-01",68.5,3.5,3.5
"2003-08-01",69.5,3.25,3.5
"2003-09-01",70,3.25,3.25
"2003-10-01",70.5,3,3.25
"2003-11-01",70.9,3,3
"2003-12-01",71.1,3,3
"2004-01-01",71.3,3,3
"2004-02-01",71.7,2.75,3
"2004-03-01",72.1,2.75,2.75
"2004-04-01",72.8,2.5,2.75
"2004-05-01",73.2,2.25,2.5
"2004-06-01",73.3,2.25,2.25
"2004-07-01",73.3,2.25,2.25
"2004-08-01",74,2.25,2.25
"2004-09-01",74.6,2.25,2.25
"2004-10-01",75.1,2.5,2.25
"2004-11-01",75.6,2.75,2.5
"2004-12-01",75.6,2.75,2.75
"2005-01-01",75.9,2.75,2.75
"2005-02-01",76.2,2.75,2.75
"2005-03-01",76.7,2.75,2.75
"2005-04-01",76.9,2.75,2.75
"2005-05-01",76.9,2.75,2.75
"2005-06-01",77.1,2.75,2.75
"2005-07-01",77.1,2.75,2.75
"2005-08-01",77.3,2.75,2.75
"2005-09-01",77.8,2.75,2.75
"2005-10-01",78.2,3,2.75
"2005-11-01",78.4,3.25,3
"2005-12-01",78.4,3.25,3.25
"2006-01-01",78.7,3.5,3.25
"2006-02-01",79.2,3.75,3.5
"2006-03-01",79.3,3.75,3.75
"2006-04-01",80.1,4,3.75
"2006-05-01",80.4,4.25,4
"2006-06-01",80.6,4.5,4.25
"2006-07-01",80.6,4.5,4.5
"2006-08-01",81,4.5,4.5
"2006-09-01",81.2,4.5,4.5
"2006-10-01",81.4,4.5,4.5
"2006-11-01",81.9,4.5,4.5
"2006-12-01",81.9,4.5,4.5
"2007-01-01",82.3,4.5,4.5
"2007-02-01",83.1,4.5,4.5
"2007-03-01",83.2,4.5,4.5
"2007-04-01",83.2,4.5,4.5
"2007-05-01",83.6,4.5,4.5
"2007-06-01",83.7,4.5,4.5
"2007-07-01",83.7,4.5,4.5
"2007-08-01",84.6,4.75,4.5
"2007-09-01",84.8,4.75,4.75
"2007-10-01",84.9,4.75,4.75
"2007-11-01",85.3,4.75,4.75
"2007-12-01",85.3,4.75,4.75
"2008-01-01",86,4.5,4.75
"2008-02-01",86.9,4.25,4.5
"2008-03-01",86.9,4.25,4.25
"2008-04-01",86.8,3.75,4.25
"2008-05-01",88.3,3.25,3.75
"2008-06-01",88.4,3.25,3.25
"2008-07-01",88.5,3.25,3.25
"2008-08-01",89,3.25,3.25
"2008-09-01",88.9,3.25,3.25
