"REF_DATE","VALUE","IR_lag1","IR_lag2"
"2003-11-01",62.6,3,3
"2003-12-01",62.7,3,3
"2004-01-01",62.8,3,3
"2004-02-01",63.1,2.75,3
"2004-03-01",63.2,2.75,2.75
"2004-04-01",63.9,2.5,2.75
"2004-05-01",64.6,2.25,2.5
"2004-06-01",65.2,2.25,2.25
"2004-07-01",65.2,2.25,2.25
"2004-08-01",65.5,2.25,2.25
"2004-09-01",65.6,2.25,2.25
"2004-10-01",65.7,2.5,2.25
"2004-11-01",65.9,2.75,2.5
"2004-12-01",66,2.75,2.75
"2005-01-01",66.1,2.75,2.75
"2005-02-01",66.2,2.75,2.75
"2005-03-01",66.6,2.75,2.75
"2005-04-01",66.9,2.75,2.75
"2005-05-01",67.2,2.75,2.75
"2005-06-01",68,2.75,2.75
"2005-07-01",68,2.75,2.75
"2005-08-01",68.2,2.75,2.75
"2005-09-01",68.4,2.75,2.75
"2005-10-01",68.7,3,2.75
"2005-11-01",68.7,3.25,3
"2005-12-01",68.7,3.25,3.25
"2006-01-01",69.1,3.5,3.25
"2006-02-01",69.3,3.75,3.5
"2006-03-01",69.5,3.75,3.75
"2006-04-01",69.7,4,3.75
"2006-05-01",69.9,4.25,4
"2006-06-01",70.2,4.5,4.25
"2006-07-01",70.5,4.5,4.5
"2006-08-01",70.8,4.5,4.5
"2006-09-01",70.8,4.5,4.5
"2006-10-01",70.8,4.5,4.5
"2006-11-01",71,4.5,4.5
"2006-12-01",71.1,4.5,4.5
"2007-01-01",71.1,4.5,4.5
"2007-02-01",71.2,4.5,4.5
"2007-03-01",71.3,4.5,4.5
"2007-04-01",71.3,4.5,4.5
"2007-05-01",71.6,4.5,4.5
"2007-06-01",72,4.5,4.5
"2007-07-01",72.2,4.5,4.5
"2007-08-01",72.4,4.75,4.5
"2007-09-01",72.7,4.75,4.75
"2007-10-01",72.7,4.75,4.75
"2007-11-01",73.4,4.75,4.75
"2007-12-01",73.5,4.75,4.75
"2008-01-01",74.1,4.5,4.75
"2008-02-01",74.3,4.25,4.5
"2008-03-01",74.5,4.25,4.25
"2008-04-01",74.6,3.75,4.25
"2008-05-01",74.5,3.25,3.75
"2008-06-01",74.8,3.25,3.25
"2008-07-01",74.8,3.25,3.25
"2008-08-01",74.9,3.25,3.25
"2008-09-01",74.9,3.25,3.25
"2008-10-01",74.9,3.25,3.25
"2008-11-01",74.9,2.5,3.25
"2008-12-01",74.9,2.5,2.5
"2009-01-01",74.9,1.75,2.5
"2009-02-01",74.9,1.25,1.75
"2009-03-01",74.6,1.25,1.25
"2009-04-01",74.2,0.75,1.25
"2009-05-01",74,0.5,0.75
"2009-06-01",73.9,0.5,0.5
"2009-07-01",74,0.5,0.5
"2009-08-01",74.1,0.5,0.5
"2009-09-01",74.5,0.5,0.5
"2009-10-01",74.7,0.5,0.5
"2009-11-01",75.2,0.5,0.5
"2009-12-01",75.7,0.5,0.5
"2010-01-01",76.1,0.5,0.5
"2010-02-01",75.6,0.5,0.5
"2010-03-01",75.7,0.5,0.5
"2010-04-01",75.8,0.5,0.5
"2010-05-01",76.3,0.5,0.5
"2010-06-01",76.5,0.5,0.5
"2010-07-01",76.6,0.75,0.5
"2010-08-01",76.8,1,0.75
"2010-09-01",76.8,1,1
"2010-10-01",76.9,1.25,1
"2010-11-01",77.3,1.25,1.25
"2010-12-01",77.4,1.25,1.25
"2011-01-01",77.7,1.25,1.25
"2011-02-01",78.1,1.25,1.25
"2011-03-01",78.4,1.25,1.25
"2011-04-01",78.8,1.25,1.25
"2011-05-01",79.6,1.25,1.25
"2011-06-01",80.2,1.25,1.25
"2011-07-01",80.5,1.25,1.25
